,nickname,text,score,like,dislike,time,watch_movie
559,티지(wodl****),이거 볼 시간에 애니를 한 번 더 봄,5,2,0,2020-09-27 13:26:00,0
560,김민영(6min****),스포일러가 포함된 감상평입니다. 감상평 보기,4,2,0,2020-09-27 00:25:00,0
561,군만두(sanj****),스포일러가 포함된 감상평입니다. 감상평 보기,4,2,0,2020-09-26 19:50:00,0
562,쁘녜(siyo****),,10,2,0,2020-09-26 18:45:00,0
563,뚜피(sddu****),글쎄..유역비가 뭘 잘못했고 그런걸 다 떠나서 디즈니 영화 치곤 실망스러웠다,5,2,0,2020-09-26 14:54:00,0
564,깔깔이(r204****),이게 진짜 8점대라고?액션은 진짜 빵점유명 중화권배우 데려다 갑옷 분장으로 난쟁이 만들어놓고아시아인들 제스처가 아닌 연기스타일음... 뭐랄까 돈내서 보고는 있지만 보고싶지않은 맘이 충만한데 원작을 못봐서 결말은 보고...,4,2,0,2020-09-26 10:30:00,0
565,Jean(pama****),OOO기 영화 뮬란을 망친 여주인공 배우 극혐. 스토리 연출도 토약질 나옴여배우가 홍콩인권탄압하고 무고한 시민들 다치게 만드는 공산당 중국 정부 경찰 찬양할 때부터 알아봤다. 인생 최악의 영화,1,2,0,2020-09-25 15:34:00,0
566,으아아아앙(cjsw****),애니메이션 뮬란에게 중요한 요소들을 다 빼버린 느낌 지나친 pc주의와 중국 눈치보기에 바쁜 디즈니가 뮬란을 망쳤다,1,2,0,2020-09-25 15:21:00,0
567,park****,놀랍도록 재미 없어 할말이 없다,2,2,0,2020-09-25 14:44:00,0
568,기상전취침(zits****),잘 만들어진 ip를 걸레짝처럼 밞은 뒤 불 태워버린 작품,2,2,0,2020-09-25 11:07:00,0
569,안유정(anjk****),촬영지도 그렇고 홍콩경찰 지지하는 유역비 나와서 역겨우니깐 안보겠음,1,2,0,2020-09-25 09:27:00,0
570,mycl****,시간 돈 모든게 아깝다.,2,2,0,2020-09-25 09:15:00,0
571,언제나허니(bill****),ㅁㄴㅇㄹ,2,2,0,2020-09-25 08:50:00,0
572,가람(femi****),,1,2,0,2020-09-24 23:26:00,0
573,준성(kori****),배우도 유역비 말고 아콰피나가 더 잘 어울렸을거 같은데 ..,5,2,0,2020-09-24 23:08:00,0
574,박양현(did_****),차라리 명작 애니메이션을 두번 보시는것이 낫다고 생각합니다. 디즈니 실사화 중 최악의 졸작.,1,2,0,2020-09-24 22:54:00,0
575,ncha****,"박평식 평론ㅋㅋㅋㅋ 이물감, 화려한 찌꺼기 박평식 평론중에 제일 맘에 든다",1,2,0,2020-09-24 22:32:00,0
576,Barry(barr****),스포일러가 포함된 감상평입니다. 감상평 보기,1,2,0,2020-09-24 22:24:00,0
577,ZzzzzZZzz(jiyo****),원작 애니메이션의 감동을 와장창 다 부셔버린 영화,1,2,0,2020-09-24 21:59:00,0
578,영이(kang****),너무 너무 너무 재미 없음!!,1,2,0,2020-09-24 21:57:00,0
579,은비(love****),노래 없고 명장면 없고 남주 없고 악당 바뀌고 이야기에서 큰 역할을 하는 캐릭터도 없고 배경 자체가 다름 에휴 왜만들었냐,1,2,0,2020-09-24 21:24:00,0
580,IlIlIlIl(jimm****),ㅋㅋㅋ영화보면서 너무 얼탱이가 없어서 여러번이나 웃었다ㅋㅋ 절대 돈주고 보지마라ㅋㅋㅋ 진짜 부탁한다 제발 이딴 쓰레기 영화에 돈 갖다바치지마라. 내가 알던 디즈니 뮬란 애니메이션이 아니다. 그냥 초딩용 중국 판타지 ...,1,2,0,2020-09-24 21:22:00,0
581,김세바(milg****),관람객평점 주작하냐? ㅋㅋㅋ 어휴,1,2,0,2020-09-24 21:17:00,0
582,도리도(comp****),진짜 연기 뭐냐고 시종일관 로봇이 연기하는거임? 척도 적당히해야지 추억의 뮬란의 입체적인 주인공 어디갔냐고 멋있는 척하면 다 멋있음???,1,2,0,2020-09-24 20:48:00,0
583,SEUNDU(ssgh****),뮬란 노래 참 좋은데... 알고 봤지만 여전히 아쉽네요. 왜그런지 화살이 기억에 남네요,7,2,0,2020-09-23 21:35:00,0
584,g811****,스포일러가 포함된 감상평입니다. 감상평 보기,6,2,0,2020-09-23 18:23:00,0
585,돈키호테(xq0e****),노래 하나는 건졌네영ㅋㅋㅋ,6,2,0,2020-09-23 17:21:00,0
586,퀸시(f35s****),딸아이랑 재밌게 보고 왔습니다~,9,2,0,2020-09-23 17:04:00,0
587,코코샤넬(k2sh****),걱정이 많았는데 막상 까보니 나쁘진 않더라구요,8,2,0,2020-09-23 16:52:00,0
588,마요네즈(ceea****),공리는 나이먹어두 넘 카리스마 넘치고 멋있더라,8,2,0,2020-09-23 16:50:00,0
