,nickname,text,score,like,dislike,time,watch_movie
97,333(jcho****),ㅋㅋㅋ이거 왜봐 like for what,1,42,7,2017-03-23 15:40:00,0
98,cncn****,이영화는 홍상수의 변명이라기보단 김민희에 대한 선물이자 편지다,8,61,26,2017-03-26 20:52:00,관람객
99,호구와트마법학교(dpfl****),1점도 아깝다.. 이딴것도 영화라고 퉤,1,36,3,2017-03-24 15:09:00,0
100,쏭지(song****),"1점도아깝다 ,,ㅡㅡㅡ",1,36,3,2017-03-24 14:49:00,0
101,Stechkin(wkuh****),1점 주는거에 대해 긴말은 생략한다,1,38,5,2017-03-24 23:07:00,0
102,ㅎㅎ 나는 나(ymj3****),진짜 보고 싶지 않은 영화다~,1,38,5,2017-03-24 11:48:00,0
103,mmm(0952****),예술로 버무리려해도 드러나는 추잡함,1,39,6,2017-04-04 21:21:00,관람객
104,강기화(busy****),김민희 너무나 맹한대화법  부자연 어색 영화비아까울정도 실망이다,3,41,8,2017-03-31 00:56:00,관람객
105,모그(moon****),세상의 비난을 받고있는 연인에게 주는 선물..,10,50,17,2017-05-20 23:33:00,관람객
106,Leo(saku****),이젠 저들이 소름끼친다...,1,37,5,2017-03-24 12:29:00,0
107,winner(jhyk****),앞으로 홍상수감독 영화는 볼 일 없을 것 같네요,1,35,4,2017-04-05 09:49:00,관람객
108,ㅋ(coup****),응 그래 1점~~~~ㅎ,1,38,7,2017-03-23 18:49:00,0
109,나그네정신(zack****),김민희가 과연 베를린 영화제 여우상을 받을만 했는가 하는 의문점이 남는다.,6,40,9,2017-04-20 14:40:00,관람객
110,귀여운척(qkek****),감히 이런 소재로 예술을 논하고 인간의 고독을 거론하지마세요. 뭇매맞을걸 뻔히 알면서 당당히 작품을 내놓은것이 비난마저 예술로 믿으려는 연출 같아 기가막힘. 좋아했던 배우였는데.. 표현해야할것이있고 보편적 배려의 의...,1,36,6,2017-03-25 03:40:00,0
111,rofk****,"김민희 때문에 봤는데, 너무 역겹다.",4,43,13,2017-03-28 17:32:00,관람객
112,이은(leee****),기자 평론가 평 왜 저모양이지,5,31,2,2017-03-24 21:20:00,0
113,EWBF(cine****),모두가 보는데서 똥을 싸면 예술이 되는가?,1,33,4,2017-03-25 01:52:00,0
114,stam****,이런 영화는 세상에나오면 않된다!!! 그렇지않아도 나라가 너무나 혼란스러운데 쓰레기 같은 영화가 나와 냄새를 풍기며 더 혼란스럽게 하는지....,1,33,4,2017-03-24 23:24:00,0
115,hugh****,기자.평론가분들 열일하시네요.,1,33,4,2017-03-24 14:18:00,0
116,woon****,1점주기도 아깝다..아휴. 뭐 자랑일까요. 남한테 상처주느 ㄴ행동이 뭐 자랑이라고,1,33,4,2017-03-24 10:58:00,0
117,ahng****,자기 연민에 빠지면 예술가도 쓰레기통에 빠진다는 걸 여지없이 보여주는 결과물. 구구절절하게 떠들면 처절한 인생이 아니라 천박한 인생이 된다는걸 감독과 주인공은 모르는 듯. 뭔 예술가가 그런것도 모르는지 이전 작품들의...,1,34,5,2017-03-25 16:24:00,0
118,구름(lemo****),아직 보진않았는데 내가하면로맨스의 영화판일까싶음.. 자기미화..,1,34,5,2017-03-24 15:53:00,0
119,joju****,절대안보고싶은영화....,1,34,5,2017-03-24 14:22:00,0
120,포이즌(gksf****),이거 보면서 돈보태주지마라 둘의 사랑을 응원해줄거아니면 욕하고 싶어보는거면 그럴바엔 안보고 망해라고 속으로 생각하는게 더 낫다. 뭐하러 봐??누구 좋으라고,1,35,6,2017-03-24 08:51:00,0
121,투잇(khan****),이런 정상밖의 이야기는 정상밖의 대접이 어울린다,1,37,8,2017-03-23 23:28:00,0
122,Hydro(ohg8****),불쾌했다.그지같다정말,1,33,5,2017-04-01 15:39:00,관람객
123,나(tksy****),만든의도를모르겟다 재미없다,1,40,12,2017-03-29 09:25:00,관람객
124,해씨아니(gksd****),홍상수는 아주 교활한 사람이라고 생각했다. 김민희를 정신적으로 자신에게 가두어 두려고 하는 스토리였다. 두 사람은 고통스럽고 행복하다고 자기위안 하는 스토리.,5,30,3,2017-04-30 19:49:00,관람객
125,myle****,포장하고 합리화해야만 하는 정도까지 왔다면..,1,31,4,2017-03-24 09:59:00,0
126,밝은미래(336t****),대단한 예술가들 납셨네 예술이 범죄를 미화시키는도구인가요?불륜은 범죄입니다,1,34,7,2017-03-24 12:21:00,0
127,무(amug****),영화 평점을 쓰거라. 불륜평점쓰지말고. 니네 이러다 나중에 늙어서 태극기 든다~,10,41,14,2017-07-15 07:56:00,0
128,tactic(tact****),네티즌들 극혐이네 영화랑 사생활이랑 좀 나누자;;; 영화로 봐 제발 미친듯이 별점 테러나 하지말고,10,42,15,2017-07-04 16:12:00,0
129,뉴욕수(coke****),"답지 않게, 감독은 남의 눈을 의식했다.",4,29,3,2017-03-29 18:31:00,관람객
130,걸어서숲으로(epon****),보면서 기분이 구려질수밖에 없었다..이젠 홍상수 영화를 못볼 것 같다.,6,30,4,2017-04-05 02:53:00,관람객
131,Fdkgh(chlo****),역겨워서 토할 것 같다. 뻔뻔하고 더러움,1,32,6,2017-03-24 14:05:00,0
132,홍승완(the4****),이 영화의 제목은 김민희,9,57,31,2017-03-26 17:58:00,관람객
133,마도로스김(sohw****),더럽다 영화도 감독도 배우도,1,31,6,2017-03-24 08:58:00,0
134,김주아(jjua****),어이가없는영화...돈주고 본게 너무 아깝다 불우이웃이나 도와줄걸,1,35,10,2017-03-24 18:11:00,0
135,예니(sehe****),별점10주는사람은 아마 영화에 절대적으로 공감하는 사람일것이다. 모두가  불륜을 욕할때 그들은 뭐 어떠냐는 식이다. 여러분  이런 더러움과 아름다운 예술을 착각하지마세요. 별점1도 아깝네요,1,35,10,2017-03-24 16:00:00,0
136,Cj크류(rkfl****),"인생을 살아가는데 사자성어  세개만알면  아무런 문제가없다   역지사지 ,  사필귀정 ,  마지막은 ...   나대지마,   끝",1,27,3,2017-03-25 11:19:00,0
137,몰라(mmmo****),역대급  쓰레기    개쓰러기,1,29,5,2017-03-25 11:21:00,0
138,하루(ghkw****),영화를 통한  자기 합리화,1,29,5,2017-03-25 02:02:00,0
139,즐라탄VS석현준(digi****),평론가들 쓸때없이 이런곳에만 점수 쓰네,1,29,5,2017-03-24 23:35:00,0
140,Ttt3885(tls5****),지들 불륜 포장영화가 보고 싶냐ㅉㅉ걍 주변에 불륜커플봐라 걔들=얘들,1,27,4,2017-03-25 00:37:00,0
141,더달콩(thed****),간통을 로맨스인양...본인들의 행위를 미화하듯...대중앞에 포장하는 모양새..,1,28,5,2017-03-24 22:32:00,0
142,랑이씽(dlad****),할말없다...노답..,1,25,3,2017-03-24 14:46:00,0
143,유(yuna****),연기가 아닌 진심이여서 연기의 극찬을 받은건가?,1,28,6,2017-03-24 10:45:00,0
144,open(wowa****),고뇌의 산물인 예술이불륜을 미화시키는 도구라니.,1,28,6,2017-03-24 01:25:00,0
145,UCS(uc85****),킁킁.. 영화에서 똥냄새가 난다,1,28,6,2017-03-23 23:13:00,0
146,0818(flow****),웩역겹다.. 적당히하자,1,28,6,2017-03-23 23:10:00,0
147,찡이(vvv_****),"둘이 영화를 또 찍었네, 역겹다",1,29,7,2017-03-24 17:47:00,0
148,loup(sess****),사람이 얼마나 잔인할 수 있는 지 보여주는...자신들이 만든 고통을  다른 이들 탓하지 마라.,1,25,4,2017-03-25 11:57:00,0
149,완소듕이(hyan****),살아생전 평점 달아보긴 첨이네! 정말 드럽다,1,27,6,2017-03-24 01:40:00,0
150,durr****,불륜을 포장하지마라 역겹다,1,28,7,2017-03-24 12:15:00,0
151,beka****,여기 욕하는 사람들도 아닌 척하는거죠. 사랑이 깨끗하기만 한가요,10,31,10,2018-03-29 03:17:00,0
152,일렉트라(song****),"다른건 그닥 공감하지 못하겠고, 걍 술자리에서 스탭들이 무슨 생각을 하고 있을지. 그들의 심정만이 핵공감됐다. '이 꼰대 ㅅㄲ 또 시작됐네. 아...ㅅㅂ 좆됐다..'",3,23,3,2017-03-25 00:03:00,0
153,샤오미(qorg****),포스터만 봐도 ooo 남.,1,23,3,2017-03-24 15:18:00,0
154,김보라(purp****),가짜를 진짜인냥 포장하려하지만 역시.가짜.,1,21,2,2017-04-21 23:34:00,관람객
155,hell****,여보세요! 최소한 자기자식을 낳은  여자에게 의리는 지키세요! 그런 기본적인 인간의 의리도 없는 남자가 무슨일을 하겟다고...쯧쯧,1,23,4,2017-03-25 15:24:00,0
156,작전주에당한개미(sh0u****),별 한개도 아까운 OOO기 불륜커플의 입장 정리,1,24,5,2017-03-30 15:42:00,관람객
157,현소(akad****),드러워요 기분이 이것도 영화라고 본 내가 한심하네요,1,25,6,2017-03-26 10:26:00,0
158,성진(7437****),12345435142424,1,21,3,2017-03-24 11:31:00,0
159,굿샷(2005****),홍상수 감독님 빠 인데 이번 영화는 꽝이네요~,3,22,4,2017-03-24 10:22:00,0
160,isis****,왜 상을 받았을까?일부러 상받기 위해 심심하고 재미없게 여기저기 심오한척  설정해 놓은게 한심할뿐...70-80년대 같음 아~심오하구나 하겠지만 요즘은 진부함,5,23,5,2017-04-22 13:45:00,관람객
161,포동이(mmin****),둘이 연애든 불륜이든 뭐든 조용히 둘이하세요. 계속해서 이목 집중시키고 이런영화까지만들고 도대체 이유가 뭡니까 불편합니다 이기적인 인간들아,1,23,5,2017-03-25 04:09:00,0
162,srug****,별한개두 아깝다 0 개 없낭,1,24,6,2017-03-24 04:32:00,0
163,appl****,흠..영화의 목적이 무엇인가요,5,31,13,2017-03-27 14:43:00,관람객
164,동구왕자(dhjg****),"김민희 안이쁜데 왜 다들 이쁘다고 함? 아부떠는거임? 평론가들 평점 왤케 높음? 아부떠는거임? 다른 괜찮은 영화에는 그렇게 별을 박하게 주더니만, 영화 갖지도 않은 것엔 왤케 후하게 주냐? 앞으로 평론가라고 하고 다...",1,18,1,2017-05-02 03:47:00,0
165,유령함장(drea****),홍상수감독도 그냥 주연으로 출연했으면 좋았을텐데 담 영화에서는 꼭 홍상수 김민희 두분이 같이 나왔으면 좋겠어요 물론 영화를 보지는 않았답니다; 홍감독님 영화는 너무 건조하고 카메라워킹이 어지러워서요 그리고 이번영화는...,1,21,5,2017-03-25 04:23:00,0
166,굿맨(khb1****),1점도 아깝다...이걸 영화라고 내걸은 홍상수새끼...넌 쓰레기다...잘했다고 상준놈들 도 똑같다...영화인이라는것들은 다 이러나?이상하게 꼬와놓곤...예술이라며 여우주연상이란다...ㅋ,1,21,5,2017-03-25 00:05:00,0
167,무명씨(rand****),이제 홍감독님 작품만 출연하는 전문배우가 되었습니다.  전화 한통 없네요.,1,21,5,2017-03-23 21:52:00,0
168,ppippi(ppip****),자기 얘기만 하는건 지루해요,1,22,6,2017-03-26 13:30:00,0
169,안정순(jsaa****),평론가들 돈얼마 받았냐,1,23,7,2017-03-26 14:58:00,0
170,소희짱(he53****),와 왜 삭제됏지 ㅋㅋㅋㅋ왜 삭제하셧어요 ㅋㅋㅋㅋ 진짜 평점부대들 작작좀하세요;; 빈말투성이네;,1,23,7,2017-03-24 10:40:00,0
171,jove****,"이 영화 관람객들은 불륜의 경험이 있는듯, 옛추억을 떠올리게 하나부다..난 타자 아프게 한 얘기 불륜인들 좋으려고 공개적으로 커밍아웃하고 그걸 반영한 예술이라고 치부하는건 너무 사치이자 극도의 이기주의라 생각한다. ...",1,24,8,2017-03-25 09:36:00,0
172,모모네(momo****),더러운 최악의 인간들 사회악이다 이런 인간들은,1,24,8,2017-03-24 22:28:00,0
173,하루살이(ddig****),심오하네여 그냥 그저그래요,1,31,15,2017-03-26 13:28:00,관람객
174,조찡찡(whdb****),"마음이 아프다. 영희의 불안하고 마음둘곳 하나없는 애처로운 감정선이 너무나 잘 드러난다. 김민희의 노래, 인용한 시 구절 등등.. 마음 시리고 아프게 훌륭하다.",10,46,30,2017-03-27 12:01:00,0
175,eart****,1점도 아깝다 10자 채우는것도 아까비,1,17,2,2017-03-25 15:51:00,0
176,aewo****,0점0점0점0점0점,1,17,2,2017-03-25 13:14:00,0
177,내버려둬(quee****),너무지루해 불륜커플의 비겁한변명 하소연,1,18,3,2017-04-23 17:17:00,관람객
178,jinj****,배우와 감독의 사생활이 영화몰입하는데 방해가 되었다.,2,18,3,2017-04-05 13:37:00,관람객
179,피닉스(coco****),0점이 없어서 1점 준다 OO맞은 감독 OO맞은 배우 OO같은 작품 그 이상 그이하도 아님 그런 더러운 짓거리는 니들 세상에서 하소서. 대중의 관심과 인정이 없으면 아무것도 아닌것들이 지들은 특별한 척 지들만의 리그...,1,18,3,2017-03-25 16:12:00,0
180,saintrookie(dltn****),영화자체로만 평가하자고? 가상의 불륜영화라면 이해라도하지 불륜 저지른것도 모자라 자기들 합리화시키고 미화 시키는 불륜영화까지 내놓을 필요가 있을까? 현실은 발정난 짐승같이 잠자리나 같이하는 사이를 아름다운 사랑으로 ...,1,18,3,2017-03-25 13:03:00,0
181,양인자(jiyo****),그냥할말도없다...,1,18,3,2017-03-25 11:05:00,0
